Weight,Transport_Mode,Fare,Origin_Location,Origin_pincode,Destination_Location,Destination_pincode,Distance
11.5,Air,1929,Patna,800001,Shillong,793001,1500
11.5,Surface,501,Patna,800001,Shillong,793001,1500
19.7,Air,3323,Patna,800001,Aizawl,796001,2000
19.7,Surface,1242,Patna,800001,Aizawl,796001,2000
11.2,Air,1929,Patna,800001,Kohima,797001,1500
11.2,Surface,638,Patna,800001,Kohima,797001,1500
10,Air,1363,Patna,800001,Bhubaneswar,751001,900
10,Surface,398,Patna,800001,Bhubaneswar,751001,900
14,Air,1891,Patna,800001,Jaipur,302001,1100
14,Surface,530,Patna,800001,Jaipur,302001,1100
16.3,Air,2221,Patna,800001,Kota,324001,1200
16.3,Surface,624,Patna,800001,Kota,324001,1200
8.4,Air,1437,Patna,800001,Gangtok,737101,1200
8.4,Surface,532,Patna,800001,Gangtok,737101,1200
16.3,Air,2221,Patna,800001,Chennai,600001,1800
16.3,Surface,668,Patna,800001,Chennai,600001,1800
14,Air,1891,Patna,800001,Coimbatore,641001,2200
14,Surface,530,Patna,800001,Coimbatore,641001,2200
5,Air,587,Patna,800001,Hyderabad,500001,1400
5,Surface,289,Patna,800001,Hyderabad,500001,1400
18,Air,2995,Patna,800001,Agartala,799001,1800
18,Surface,804,Patna,800001,Agartala,799001,1800
12,Air,1627,Patna,800001,Lucknow,226001,500
12,Surface,467,Patna,800001,Lucknow,226001,500
19,Air,2551,Patna,800001,Varanasi,221001,250
19,Surface,668,Patna,800001,Varanasi,221001,250
15,Air,2023,Patna,800001,Dehradun,248001,1000
15,Surface,561,Patna,800001,Dehradun,248001,1000
5.5,Air,726,Patna,800001,Gairsain,246401,1100
5.5,Surface,314,Patna,800001,Gairsain,246401,1100
17.1,Air,2353,Patna,800001,Kolkata,700001,550
17.1,Surface,655,Patna,800001,Kolkata,700001,550
18,Air,2419,Patna,800001,New Delhi,110001,1000
18,Surface,655,Patna,800001,New Delhi,110001,1000
5,Air,587,Raipur,492001,Amaravati,522020,1200
5,Surface,272,Raipur,492001,Amaravati,522020,1200
20,Air,1302,Raipur,492001,Visakhapatnam,530001,800
20,Surface,359,Raipur,492001,Visakhapatnam,530001,800
30,Air,5338,Raipur,492001,Itanagar,791111,2000
30,Surface,1167,Raipur,492001,Itanagar,791111,2000
14,Air,2339,Raipur,492001,Dispur,781005,1100
14,Surface,569,Raipur,492001,Dispur,781005,1100
23,Air,3079,Raipur,492001,Patna,800001,1100
23,Surface,812,Raipur,492001,Patna,800001,1100
12,Air,1627,Raipur,492001,Panaji,403001,1800
12,Surface,467,Raipur,492001,Panaji,403001,1800
6,Air,784,Raipur,492001,Gandhinagar,382010,1100
6,Surface,308,Raipur,492001,Gandhinagar,382010,1100
8,Air,1099,Raipur,492001,Gandhinagar,382010,1100
8,Surface,383,Raipur,492001,Gandhinagar,382010,1100
22,Air,2947,Raipur,492001,Chandigarh,160017,1500
22,Surface,726,Raipur,492001,Chandigarh,160017,1500
17,Air,2831,Raipur,492001,Shimla,171001,1400
17,Surface,669,Raipur,492001,Shimla,171001,1400
10,Air,1363,Raipur,492001,Ranchi,834001,1000
10,Surface,398,Raipur,492001,Ranchi,834001,1000
24,Air,3211,Raipur,492001,Bengaluru,560001,1800
24,Surface,784,Raipur,492001,Bengaluru,560001,1800
27,Air,4808,Raipur,492001,Thiruvananthapuram,695001,2800
27,Surface,1058,Raipur,492001,Thiruvananthapuram,695001,2800
29,Air,5161,Raipur,492001,Kozhikode,673001,2700
29,Surface,1131,Raipur,492001,Kozhikode,673001,2700
27,Air,3748,Raipur,492001,Bhopal,462001,700
27,Surface,871,Raipur,492001,Bhopal,462001,700
22,Air,2947,Raipur,492001,Indore,452001,900
22,Surface,726,Raipur,492001,Indore,452001,900
28,Air,3886,Raipur,492001,Mumbai,400001,1200
28,Surface,900,Raipur,492001,Mumbai,400001,1200
15,Air,2023,Raipur,492001,Pune,411001,1200
15,Surface,561,Raipur,492001,Pune,411001,1200
17,Air,2287,Raipur,492001,Nagpur,440001,300
17,Surface,624,Raipur,492001,Nagpur,440001,300
26,Air,4632,Raipur,492001,Shillong,793001,2000
26,Surface,1022,Raipur,492001,Shillong,793001,2000
16,Air,2667,Raipur,492001,Aizawl,796001,2200
16,Surface,1017,Raipur,492001,Aizawl,796001,2200
8,Air,1355,Raipur,492001,Kohima,797001,2200
8,Surface,471,Raipur,492001,Kohima,797001,2200
9,Air,1231,Raipur,492001,Bhubaneswar,751001,1100
9,Surface,398,Raipur,492001,Bhubaneswar,751001,1100
24,Air,3211,Raipur,492001,Jaipur,302001,1100
24,Surface,784,Raipur,492001,Jaipur,302001,1100
3,Air,353,Raipur,492001,Kota,324001,1100
3,Surface,229,Raipur,492001,Kota,324001,1100
7,Air,1085,Raipur,492001,Gangtok,737101,1800
7,Surface,506,Raipur,492001,Gangtok,737101,1800
12,Air,1627,Raipur,492001,Chennai,600001,1500
12,Surface,467,Raipur,492001,Chennai,600001,1500
5,Air,587,Raipur,492001,Coimbatore,641001,2000
5,Surface,270,Raipur,492001,Coimbatore,641001,2000
4,Air,478,Raipur,492001,Hyderabad,500001,1000
4,Surface,298,Raipur,492001,Hyderabad,500001,1000
6,Air,938,Raipur,492001,Agartala,799001,2000
6,Surface,425,Raipur,492001,Agartala,799001,2000
3,Air,353,Raipur,492001,Lucknow,226001,900
3,Surface,229,Raipur,492001,Lucknow,226001,900
19,Air,2551,Raipur,492001,Kanpur,208001,900
19,Surface,668,Raipur,492001,Kanpur,208001,900
27,Air,3748,Raipur,492001,Varanasi,221001,800
27,Surface,871,Raipur,492001,Varanasi,221001,800
29,Air,4023,Raipur,492001,Dehradun,248001,1400
29,Surface,929,Raipur,492001,Dehradun,248001,1400
7,Air,900,Raipur,492001,Gairsain,246401,1500
7,Surface,357,Raipur,492001,Gairsain,246401,1500
6,Air,784,Raipur,492001,Kolkata,700001,1100
6,Surface,308,Raipur,492001,Kolkata,700001,1100
14,Air,1891,Raipur,492001,New Delhi,110001,1200
14,Surface,530,Raipur,492001,New Delhi,110001,1200
5,Air,703,Panaji,403001,Amaravati,522020,1164
4,Surface,272,Panaji,403001,Amaravati,522020,1164
5,Air,587,Panaji,403001,Visakhapatnam,530001,1185
4,Surface,272,Panaji,403001,Visakhapatnam,530001,1185
5,Air,801,Panaji,403001,Itanagar,791111,2923
4,Surface,376,Panaji,403001,Itanagar,791111,2923
5,Air,801,Panaji,403001,Dispur,781005,2226
4,Surface,312,Panaji,403001,Dispur,781005,2226
5,Air,587,Panaji,403001,Patna,800001,1743
4,Surface,270,Panaji,403001,Patna,800001,1743
5,Air,587,Panaji,403001,Raipur,492001,1197
4,Surface,270,Panaji,403001,Raipur,492001,1197
5,Air,587,Panaji,403001,Gandhinagar,382010,1163
4,Surface,270,Panaji,403001,Gandhinagar,382010,1163
5,Air,587,Panaji,403001,Ahmedabad,380001,1149
4,Surface,270,Panaji,403001,Ahmedabad,380001,1149
5,Air,587,Panaji,403001,Chandigarh,160017,1829
4,Surface,270,Panaji,403001,Chandigarh,160017,1829
5,Air,801,Panaji,403001,Shimla,171001,2024
4,Surface,312,Panaji,403001,Shimla,171001,2024
5,Air,587,Panaji,403001,Ranchi,834001,1700
4,Surface,270,Panaji,403001,Ranchi,834001,1700
5,Air,587,Panaji,403001,Bengaluru,560001,582
4,Surface,270,Panaji,403001,Bengaluru,560001,582
5,Air,801,Panaji,403001,Thiruvananthapuram,695001,776
4,Surface,312,Panaji,403001,Thiruvananthapuram,695001,776
5,Air,801,Panaji,403001,Kozhikode,673001,661
4,Surface,321,Panaji,403001,Kozhikode,673001,661
5,Air,587,Panaji,403001,Bhopal,462001,1098
4,Surface,289,Panaji,403001,Bhopal,462001,1098
5,Air,587,Panaji,403001,Indore,452001,1035
4,Surface,270,Panaji,403001,Indore,452001,1035
5,Air,587,Panaji,403001,Mumbai,400001,583
4,Surface,298,Panaji,403001,Mumbai,400001,583
5,Air,587,Panaji,403001,Pune,411001,423
4,Surface,270,Panaji,403001,Pune,411001,423
5,Air,703,Panaji,403001,Nagpur,440001,1231
4,Surface,272,Panaji,403001,Nagpur,440001,1231
5,Air,801,Panaji,403001,Shillong,793001,2761
4,Surface,321,Panaji,403001,Shillong,793001,2761
5,Air,801,Panaji,403001,Aizawl,796001,2904
4,Surface,376,Panaji,403001,Aizawl,796001,2904
5,Air,801,Panaji,403001,Kohima,797001,2676
4,Surface,338,Panaji,403001,Kohima,797001,2676
5,Air,587,Panaji,403001,Bhubaneswar,751001,1426
4,Surface,270,Panaji,403001,Bhubaneswar,751001,1426
5,Air,587,Panaji,403001,Jaipur,302001,1289
4,Surface,272,Panaji,403001,Jaipur,302001,1289
5,Air,703,Panaji,403001,Kota,324001,1325
4,Surface,276,Panaji,403001,Kota,324001,1325
5,Air,863,Panaji,403001,Gangtok,737101,2211
4,Surface,321,Panaji,403001,Gangtok,737101,2211
5,Air,587,Panaji,403001,Chennai,600001,790
4,Surface,293,Panaji,403001,Chennai,600001,790
5,Air,587,Panaji,403001,Hyderabad,500001,662
4,Surface,289,Panaji,403001,Hyderabad,500001,662
5,Air,801,Panaji,403001,Agartala,799001,3072
4,Surface,376,Panaji,403001,Agartala,799001,3072
5,Air,587,Panaji,403001,Lucknow,226001,1548
4,Surface,270,Panaji,403001,Lucknow,226001,1548
5,Air,587,Panaji,403001,Kanpur,208001,1473
4,Surface,272,Panaji,403001,Kanpur,208001,1473
